n,mergesort,quicksort,radixsort< 1>,radixsort< 2>,radixsort< 4>,radixsort< 8>,radixsort<16>,std::sort
1,14,2,247,132,90,569,70348,5
2,25,4,461,235,106,570,70328,9
4,49,18,910,438,144,569,70276,12
8,104,35,1812,831,395,597,70262,26
16,207,70,3262,1733,307,650,70315,63
32,438,170,2878,1013,639,765,70592,140
64,912,362,6201,1957,967,1020,70874,285
128,1934,906,11320,3822,1955,1452,71549,674
256,4154,2257,23038,7691,3792,2377,72267,1622
512,16385,11674,45218,14978,7262,4156,74340,4336
1024,47075,38108,91549,29968,14574,7679,78071,20092
2048,112391,94749,186147,59885,28708,15446,85130,69359
4096,254121,219769,374694,123485,60822,31114,102511,179481
8192,551044,490601,757272,242692,120693,58958,140226,398014
16384,1176315,1056701,1515605,487605,237461,119358,220370,871709
32768,2478875,2229485,3021341,977006,470390,237730,401833,1859637
131072,11556686,10429862,12734102,4008607,1970627,1074620,1596886,8440002
262144,23543659,21487846,24489544,7989791,3975088,2296231,3345929,17896905
524288,51850079,47209757,52321528,17275079,8248248,4504886,7140620,37984194
1048576,105608896,95665532,100996722,33398210,16930861,9358111,17031085,81213457
2097152,221337825,199147592,201402458,66448868,33163220,19080722,37236860,172474098
