question,answer
0 + 0 =,0
0 + 0 =,0
0 + 1 =,1
1 + 0 =,1
0 + 2 =,2
2 + 0 =,2
0 + 3 =,3
3 + 0 =,3
0 + 4 =,4
4 + 0 =,4
0 + 5 =,5
5 + 0 =,5
0 + 6 =,6
6 + 0 =,6
0 + 7 =,7
7 + 0 =,7
0 + 8 =,8
8 + 0 =,8
0 + 9 =,9
9 + 0 =,9
0 + 10 =,10
10 + 0 =,10
0 + 11 =,11
11 + 0 =,11
0 + 12 =,12
12 + 0 =,12
0 + 13 =,13
13 + 0 =,13
0 + 14 =,14
14 + 0 =,14
0 + 15 =,15
15 + 0 =,15
0 + 16 =,16
16 + 0 =,16
0 + 17 =,17
17 + 0 =,17
0 + 18 =,18
18 + 0 =,18
0 + 19 =,19
19 + 0 =,19
0 + 20 =,20
20 + 0 =,20
1 + 0 =,1
0 + 1 =,1
1 + 1 =,2
1 + 1 =,2
1 + 2 =,3
2 + 1 =,3
1 + 3 =,4
3 + 1 =,4
1 + 4 =,5
4 + 1 =,5
1 + 5 =,6
5 + 1 =,6
1 + 6 =,7
6 + 1 =,7
1 + 7 =,8
7 + 1 =,8
1 + 8 =,9
8 + 1 =,9
1 + 9 =,10
9 + 1 =,10
1 + 10 =,11
10 + 1 =,11
1 + 11 =,12
11 + 1 =,12
1 + 12 =,13
12 + 1 =,13
1 + 13 =,14
13 + 1 =,14
1 + 14 =,15
14 + 1 =,15
1 + 15 =,16
15 + 1 =,16
1 + 16 =,17
16 + 1 =,17
1 + 17 =,18
17 + 1 =,18
1 + 18 =,19
18 + 1 =,19
1 + 19 =,20
19 + 1 =,20
1 + 20 =,21
20 + 1 =,21
2 + 0 =,2
0 + 2 =,2
2 + 1 =,3
1 + 2 =,3
2 + 2 =,4
2 + 2 =,4
2 + 3 =,5
3 + 2 =,5
2 + 4 =,6
4 + 2 =,6
2 + 5 =,7
5 + 2 =,7
2 + 6 =,8
6 + 2 =,8
2 + 7 =,9
7 + 2 =,9
2 + 8 =,10
8 + 2 =,10
2 + 9 =,11
9 + 2 =,11
2 + 10 =,12
10 + 2 =,12
2 + 11 =,13
11 + 2 =,13
2 + 12 =,14
12 + 2 =,14
