question,answer
2 x 0 =,0
0 x 2 =,0
2 x 1 =,2
1 x 2 =,2
2 x 2 =,4
2 x 2 =,4
2 x 3 =,6
3 x 2 =,6
2 x 4 =,8
4 x 2 =,8
2 x 5 =,10
5 x 2 =,10
2 x 6 =,12
6 x 2 =,12
2 x 7 =,14
7 x 2 =,14
2 x 8 =,16
8 x 2 =,16
2 x 9 =,18
9 x 2 =,18
2 x 10 =,20
10 x 2 =,20
2 x 11 =,22
11 x 2 =,22
2 x 12 =,24
12 x 2 =,24
3 x 0 =,0
0 x 3 =,0
3 x 1 =,3
1 x 3 =,3
3 x 2 =,6
2 x 3 =,6
3 x 3 =,9
3 x 3 =,9
3 x 4 =,12
4 x 3 =,12
3 x 5 =,15
5 x 3 =,15
3 x 6 =,18
6 x 3 =,18
3 x 7 =,21
7 x 3 =,21
3 x 8 =,24
8 x 3 =,24
3 x 9 =,27
9 x 3 =,27
3 x 10 =,30
10 x 3 =,30
3 x 11 =,33
11 x 3 =,33
3 x 12 =,36
12 x 3 =,36
